talker	consonant	CV-transition-time
eng-f2	theta-0	0.15082455204303943
eng-f2	theta-1	0.17051587301587304
eng-f2	theta-2	0.18977358620215765
eng-f2	v-0	0.17511861154718297
eng-f2	v-1	0.1530815381708239
eng-f2	v-2	0.09935374149659865
eng-f2	w-0	0.13234266653521312
eng-f2	w-1	0.1274107142857143
eng-f2	w-2	0.12113239853764636
eng-f2	z-0	0.18223493437779154
eng-f2	z-1	0.2045289298515105
eng-f2	z-2	0.19737405106970324
eng-m1	esh-0	0.19644368858654573
eng-m1	esh-1	0.20843125128839415
eng-m1	esh-2	0.17747651441528994
eng-m1	eth-0	0.14166905358634682
eng-m1	eth-1	0.05057387057387057
eng-m1	eth-2	0.12418451331149745
eng-m1	ezh-0	0.12023332139873494
eng-m1	ezh-1	0.12652625152625152
eng-m1	ezh-2	0.1002607709750567
eng-m1	f-0	0.22129251700680275
eng-m1	f-1	0.21243008314436887
eng-m1	f-2	0.2179843789367599
eng-m1	h-0	0.14455215419501136
eng-m1	h-1	0.18188082640463593
eng-m1	h-2	0.13371126228269087
eng-m1	j-0	0.11411240686750893
eng-m1	j-1	0.12941080876795164
eng-m1	j-2	0.11708616780045353
eng-m1	k-0	0.021000566893424034
eng-m1	k-1	0.023102796674225247
eng-m1	k-2	0.029840239125953412
eng-m1	k-aspirated-0	0.12962396069538928
eng-m1	k-aspirated-1	0.12899529042386185
eng-m1	k-aspirated-2	0.13057823129251703
eng-m1	l-0	0.07451159951159952
eng-m1	l-1	0.09085652442795301
eng-m1	l-2	0.12488662131519275
eng-m1	m-0	0.08534013605442178
eng-m1	m-1	0.03745949587564494
eng-m1	m-2	0.07479024943310658
eng-m1	n-0	0.07061341778090548
eng-m1	n-1	0.0791674765144153
eng-m1	n-2	0.07209750566893425
eng-m1	p-0	0.014305895691609977
eng-m1	p-1	0.026156462585034013
eng-m1	p-2	0.012891156462585034
eng-m1	p-aspirated-0	0.0817372706658421
eng-m1	p-aspirated-1	0.10428193499622072
eng-m1	p-aspirated-2	0.09795288485764676
eng-m1	r-turned-0	0.09051107622536195
eng-m1	r-turned-1	0.08466958211856172
eng-m1	r-turned-2	0.0682896015549077
eng-m1	s-0	0.20341975308641977
eng-m1	s-1	0.1908763505402161
eng-m1	s-2	0.16876802293244345
eng-m1	t-0	0.021258503401360544
eng-m1	t-1	0.01624212648022172
eng-m1	t-2	0.01863335077620792
eng-m1	t-aspirated-0	0.1149338944617395
eng-m1	t-aspirated-1	0.13483164983164983
eng-m1	t-aspirated-2	0.11441243163932241
eng-m1	tesh-0	0.0639644746787604
eng-m1	tesh-1	0.060348954396573444
eng-m1	tesh-2	0.06141885325558795
eng-m1	tesh-aspirated-0	0.15984625850340137
eng-m1	tesh-aspirated-1	0.17513857394809776
eng-m1	tesh-aspirated-2	0.1407021919879063
eng-m1	theta-0	0.19624023683547495
eng-m1	theta-1	0.16022837706511175
eng-m1	theta-2	0.16204420296257033
eng-m1	v-0	0.13322481373501782
eng-m1	v-1	0.07744614512471656
eng-m1	v-2	0.05808097432521396
eng-m1	w-0	0.09766178266178267
eng-m1	w-1	0.1430882609454038
eng-m1	w-2	0.12313137755102041
eng-m1	z-0	0.1593310657596372
eng-m1	z-1	0.13859846502703646
eng-m1	z-2	0.11488014253320376
eng-m2	esh-0	0.1810204081632653
eng-m2	esh-1	0.2050995212899975
eng-m2	esh-2	0.19649047006189865
eng-m2	eth-0	0.08261256883705864
eng-m2	eth-1	0.05497789115646259
eng-m2	eth-2	0.10155636740292825
eng-m2	ezh-0	0.14816429602143888
eng-m2	ezh-1	0.15265792031098155
eng-m2	ezh-2	0.1541639371798102
eng-m2	f-0	0.15361678004535148
eng-m2	f-1	0.15950113378684808
eng-m2	f-2	0.14407256235827665
eng-m2	h-0	0.13920034680538884
eng-m2	h-1	0.12281625781625782
eng-m2	h-2	0.10937937493838117
eng-m2	j-0	0.1138795518207283
eng-m2	j-1	0.1293694400837258
eng-m2	j-2	0.14135647969879778
eng-m2	k-0	0.03430952380952381
